"phylum","class","order","family","genus","species","early_interval","late_interval","max_ma","min_ma","midpoint","lng","lat"
"Chordata","Aves","Suliformes","Anhingidae","Anhinga","Anhinga melanogaster","Piacenzian","",3.6,2.588,3.094,18.8794,15.9694
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser fabalis","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna ferruginea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Aythya","Aythya ferina","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus merganser","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Accipitriformes","Pandionidae","Pandion","Pandion haliaetus","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Accipitriformes","Accipitridae","Aquila","Aquila chrysaetos","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","Holocene",2.588,0,1.294,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","Holocene",2.588,0,1.294,33,24.5
"Chordata","Aves","Gruiformes","Gruidae","Grus","Grus grus","Pleistocene","Holocene",2.588,0,1.294,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anser","Anser albifrons","Pleistocene","Holocene",2.588,0,1.294,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Suliformes","Phalacrocoracidae","Phalacrocorax","Phalacrocorax carbo","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cinerea","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Phoenicopteriformes","Phoenicopteridae","Phoenicopterus","Phoenicopterus roseus","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas platyrhynchos","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mareca","Mareca penelope","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergus","Mergus serrator","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Mergellus","Mergellus albellus","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Accipitriformes","Accipitridae","Milvus","Milvus migrans","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas crecca","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Plectropterus","Plectropterus gambensis","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Platalea","Platalea leucorodia","Pleistocene","",2.588,0.0117,1.29985,33,24.5
"Chordata","Aves","Anseriformes","Anatidae","Anas","Anas acuta","Pleistocene","",2.588,0.0117,1.29985,33,24.5
