x
Hipposideros dyacorum
Hipposideros cervinus
Hipposideros galeritus
Hipposideros pygmaeus
Hipposideros coxi
Hipposideros marisae
Hipposideros obscurus
Hipposideros jonesi
Hipposideros calcaratus
Hipposideros turpis
Hipposideros scutinares
Hipposideros lylei
Hipposideros pratti
Hipposideros lekaguli
Hipposideros alongensis
Hipposideros diadema
Hipposideros pelingensis
Hipposideros dinops
Hipposideros demissus
Hipposideros lankadiva
Hipposideros larvatus
Hipposideros grandis
Hipposideros griffini
Hipposideros pendelburyi
Hipposideros armiger
Hipposideros coronatus
Aselliscus stoliczkanus
Aselliscus tricuspidatus
Coelops robinsoni
Coelops frithii
Megaerops niphanae
Megaerops wetmorei
Ptenochirus minor
Megaerops ecaudatus
Megaerops kusnotoi
Cynopterus sphinx
Cynopterus brachyotis
Cynopterus horsfieldii
Cynopterus titthaecheilus
Ptenochirus jagori
Sphaerias blanfordi
Aethalops alecto
Aethalops aequalis
Balionycteris maculata
Penthetor lucasi
Chironax melanocephalus
Otopteropus cartilagonodus
Haplonycteris fischeri
Alionycteris paucidentata
Latidens salimalii
Thoopterus nigrescens
Dyacopterus spadiceus
Pteropus scapulatus
Pteropus poliocephalus
Pteropus voeltzkowi
Pteropus livingstonii
Pteropus dasymallus
Pteropus pumilus
Pteropus rodricensis
Pteropus vampyrus
Pteropus aldabrensis
Pteropus seychellensis
Pteropus rufus
Pteropus lylei
Pteropus giganteus
Pteropus niger
Pteropus ornatus
Pteropus tonganus
Pteropus admiralitatum
Pteropus pohlei
Pteropus yapensis
Pteropus pelewensis
Pteropus mariannus
Pteropus speciosus
Pteropus conspicillatus
Pteropus hypomelanus
Pteropus alecto
Pteropus neohibernicus
Pteropus capistratus
Pteropus tuberculatus
Pteropus temminckii
Pteropus nitendiensis
Pteropus anetianus
Pteropus samoensis
Pteropus rayneri
Pteropus macrotis
Pteropus woodfordi
Pteropus gilliardorum
Pteropus mahaganus
Pteropus molossinus
Pteropus pelagicus
Pteropus tokudae
Pteropus lombocensis
Acerodon jubatus
Acerodon celebensis
Styloctenium wallacei
Styloctenium mindorensis
Desmalopex microleucopterus
Desmalopex leucopterus
Melonycteris melanops
Melonycteris woodfordi
Melonycteris fardoulisi
Pteralopex taki
Mirimiri acrodonta
Eidolon helvum
Eidolon dupreanum
Nyctimene major
Nyctimene aello
Nyctimene vizcaccia
Nyctimene albiventer
Nyctimene robinsoni
Nyctimene cephalotes
Paranyctimene raptor
Eonycteris spelaea
Eonycteris robusta
Eonycteris major
Rousettus leschenaultii
Rousettus madagascariensis
Rousettus obliviosus
Rousettus aegyptiacus
Rousettus amplexicaudatus
Rousettus spinalatus
Rousettus lanosus
Myonycteris relicta
Myonycteris torquata
Myonycteris brachycephala
Myonycteris angolensis
Megaloglossus woermanni
Megaloglossus azagnyi
Nanonycteris veldkampii
Epomophorus labiatus
Micropteropus pusillus
Epomophorus gambianus
Epomophorus wahlbergi
Epomops franqueti
Hypsignathus monstrosus
Scotonycteris zenkeri
Scotonycteris occidentalis
Scotonycteris bergmansi
Casinycteris ophiodon
Casinycteris campomaanensis
Casinycteris argynnis
Syconycteris australis
Macroglossus sobrinus
Macroglossus minimus
Rousettus bidens
Harpyionycteris whiteheadi
Harpyionycteris celebensis
Dobsonia minor
Dobsonia moluccensis
Dobsonia praedatrix
Dobsonia inermis
Myzopoda schliemanni
Myzopoda aurita
Mystacina tuberculata
Noctilio leporinus
Noctilio albiventris
Furipterus horrens
Thyroptera tricolor
Thyroptera lavali
Thyroptera discifera
Mormoops megalophylla
Mormoops blainvillei
Macrotus waterhousii
Macrotus californicus
Micronycteris schmidtorum
Micronycteris minuta
Micronycteris yatesi
Micronycteris matses
Micronycteris buriri
Micronycteris microtis
Micronycteris megalotis
Micronycteris giovanniae
Micronycteris brosseti
Micronycteris hirsuta
Lampronycteris brachyotis
Monophyllus redmani
Monophyllus plethodon
Leptonycteris nivalis
Leptonycteris yerbabuenae
Leptonycteris curasoae
Glossophaga soricina
Glossophaga longirostris
Glossophaga leachii
Glossophaga morenoi
Glossophaga commissarisi
Phyllonycteris poeyi
Phyllonycteris aphylla
Erophylla sezekorni
Erophylla bombifrons
Brachyphylla nana
Brachyphylla cavernarum
Hylonycteris underwoodi
Choeroniscus minor
Choeroniscus godmani
Musonycteris harrisoni
Lichonycteris obscura
Choeronycteris mexicana
Anoura caudifer
Anoura latidens
Anoura geoffroyi
Anoura cultrata
Glyphonycteris daviesi
Glyphonycteris sylvestris
Trinycteris nicefori
Carollia sowelli
Carollia perspicillata
Carollia brevicauda
Carollia subrufa
Carollia manu
Carollia castanea
Carollia benkeithi
Rhinophylla pumilio
Rhinophylla fischerae
Rhinophylla alethina
Sturnira lilium
Sturnira parvidens
Sturnira bakeri
Sturnira luisi
Sturnira angeli
Sturnira paulsoni
Sturnira erythromos
Sturnira mordax
Sturnira koopmanhilli
Sturnira magna
Sturnira perla
Sturnira bogotensis
Sturnira tildae
Sturnira oporaphilum
Sturnira ludovici
Sturnira burtonlimi
Sturnira hondurensis
Sturnira aratathomasi
Sturnira nana
Sturnira bidens
Artibeus hirsutus
Artibeus inopinatus
Artibeus fraterculus
Artibeus jamaicensis
Artibeus fimbriatus
Artibeus obscurus
Artibeus planirostris
Artibeus amplus
Artibeus lituratus
Artibeus concolor
Dermanura anderseni
Dermanura rava
Dermanura cinereus
Dermanura gnomus
Dermanura bogotensis
Dermanura glaucus
Dermanura rosenbergii
Dermanura watsoni
Dermanura aztecus
Dermanura incomitatus
Dermanura toltecus
Dermanura phaeotis
Ariteus flavescens
Ardops nichollsi
Centurio senex
Pygoderma bilabiatum
